Region,sentiment_score,tweets_proportion,tweets_proportion_log
Afghanistan,0.6336762988403210,0.001302647210713900,-6.643356769061880
Angola,0.6579806991549300,0.0012974716068748500,-6.647337826111760
Albania,0.6470806120137860,0.0030801738217010700,-5.782769247971850
Argentina,0.6413567520732230,0.0007497541061614660,-7.195765263642630
American Samoa,0.5767247272727270,0.0003705075954057060,-7.900636613018010
Australia,0.6692528979548580,0.00347221527207759,-5.662962481779600
Austria,0.6599976231544230,0.006926220515067570,-4.972440994775340
Azerbaijan,0.6002414650856390,0.0022850553040175900,-6.081365051857700
Burundi,0.7160879668367350,0.0013939086546476000,-6.5756434963033100
Belgium,0.6559228438986640,0.002160657700862670,-6.137342612493960
Benin,0.6983667889558230,0.0055594209103802600,-5.192261328953230
Burkina Faso,0.6979483056389720,0.0036173434606080000,-5.622015373205440
Bangladesh,0.8074108320815640,0.026084432046684400,-3.646416615921570
Bulgaria,0.7299896323435410,0.00793827466043182,-4.836059324510380
Bosnia and Herzegovina,0.6621466645313550,0.0025844234362021000,-5.958252837987490
Belarus,0.6938842481016580,0.0008968649636209840,-7.016605249466650
Bolivia,0.672644725070777,0.0014419333746347200,-6.5417704446301200
Brazil,0.6563561961706690,0.0003402963269232190,-7.985693770158870
Brunei,0.6993261057268720,0.0012964203506041000,-6.648148389038460
Bhutan,0.732736170984456,0.0057452873015754900,-5.159375359954370
Botswana,0.6248943222289520,0.0003416076696804510,-7.981847644075760
Central African Republic,0.6380414928366760,0.0013417658253397700,-6.613768752425170
Canada,0.657180119385108,0.0027457317405830000,-5.8977076673833100
Switzerland,0.666135997661961,0.005957272432854010,-5.123142548150830
Chile,0.6569021598066340,0.0008724866146007360,-7.044163245437190
China,0.672975452211071,0.0032110212983871700,-5.741166230951520
Cameroon,0.7281082036616330,0.0009760503391217760,-6.931996395912190
Democratic Republic of the Congo,0.7026701818181820,0.0018015655232306900,-6.319099256952290
Republic of Congo,0.6529312598607890,0.0006252695751351130,-7.377327681003520
Colombia,0.6757042540380140,0.0009064026822276390,-7.006026889045190
Costa Rica,0.6616961992584350,0.001068084645925550,-6.841888285100160
Cuba,0.714913049307714,0.006795569342554110,-4.991484446433740
Czech Republic,0.6146387597346660,0.0033907138206587300,-5.68671481318981
Germany,0.6329390093164100,0.006810014898374280,-4.989360971102950
Djibouti,0.6544026410256410,0.0007712921120549000,-7.167443381895100
Denmark,0.6641690013519960,0.001978005583016950,-6.225666223229000
Dominican Republic,0.6356924551838490,0.0012335087398050600,-6.697892536649020
Algeria,0.6660267147854160,0.0017439594289620800,-6.351597216975760
Ecuador,0.6756248027305660,0.0010041116413580300,-6.903652067322740
Egypt,0.655638894637527,0.0006032308222688170,-7.413210644650230
Eritrea,0.5609495,0.0006032090722644470,-7.4132467011574300
Spain,0.6675947289925260,0.001551769474961120,-6.468359402427940
Estonia,0.6899271358797750,0.006629488396112140,-5.016227642752370
Ethiopia,0.6606835573139440,0.002164817609273940,-6.135419166215560
Finland,0.646096223294769,0.0016047775793285700,-6.4347701118608200
Fiji,0.675943025974026,0.0005325697528046370,-7.537796677776870
France,0.6402414968756160,0.0017993914950816800,-6.320306729522560
Faroe Islands,0.6330075,0.0010820071232135600,-6.828937515202840
Gabon,0.7021887628571430,0.0033916536249509400,-5.686437681552290
United Kingdom,0.6607673509992310,0.0013736085567157400,-6.590314018991750
Georgia,0.6977100871762030,0.012335093274543800,-4.39530696725042
Ghana,0.6720449861282020,0.0010596855344622000,-6.849783080473800
Guinea,0.7024562777777780,0.0003618272274988690,-7.924343732171660
Gambia,0.6522665681818180,0.0006399339122796050,-7.354145649005570
Equatorial Guinea,0.6603055454545460,0.0006520064015173970,-7.335456177807600
Greece,0.6644115230040330,0.002430922851045300,-6.019484319632890
Guatemala,0.6404186224331860,0.0008645586446793810,-7.053291418612650
Guyana,0.6743040359477130,0.000726242181659901,-7.227627015212520
Honduras,0.6430840545647180,0.0009315318363257750,-6.9786801910232800
Croatia,0.6468334595775670,0.001280034258371420,-6.660868437056100
Haiti,0.6653383168044080,0.0006528953119238830,-7.334093760186680
Hungary,0.6561229080079930,0.003552090007355450,-5.640219114264640
Indonesia,0.6922380376772960,0.0021839450767127500,-6.126622369441000
Isle of Man,0.6092840807136790,0.002096361442609880,-6.167552083396830
India,0.7084104330569700,0.003316229336430020,-5.708926883536630
Iran,0.6505386218390920,0.008687650253974060,-4.745852772819320
Iraq,0.6561285699161890,0.0004970305843508740,-7.606858995831700
Iceland,0.689869027707227,0.006268227478937140,-5.072261663038240
Italy,0.6927835189798980,0.0030738298642490200,-5.784830982095850
Jordan,0.6537736239806700,0.0004820393077863570,-7.637484895814830
Japan,0.6967539146069940,0.0004894405566801960,-7.622247540180430
Kazakhstan,0.68782991404567,0.003938422935422070,-5.536974905999240
Kenya,0.6428927511910500,0.001360916524838590,-6.599596890890640
Kyrgyzstan,0.6296746877572020,0.004781576173779790,-5.342985043363630
Cambodia,0.7492595329865630,0.008908670509531840,-4.720730261928920
South Korea,0.6875389456049550,0.0026736200458766600,-5.92432190244155
Kosovo,0.6851898625072830,0.010213196422463200,-4.584074627979010
Laos,0.7185508294392520,0.003611274139514250,-5.623694621674710
Lebanon,0.6732897455907890,0.0013737642103981400,-6.59020070806108
Liberia,0.6421866123595510,0.0004299552941511830,-7.751829321771890
Sri Lanka,0.679500154293503,0.002787341647869300,-5.8826669517488000
Lithuania,0.6749701218142550,0.0031309600350105600,-5.766415601008520
Luxembourg,0.6804683480620160,0.00326185549297981,-5.725459075893410
Latvia,0.6640071841823470,0.0011406650579291900,-6.776143802529700
Morocco,0.665972243650934,0.003029887016629260,-5.799229948397250
Madagascar,0.6664837118871730,0.002446908333785250,-6.012929955874990
Mexico,0.6602033382874430,0.0011066761261070800,-6.806394237071260
Mali,0.675315757154538,0.001459979183983580,-6.529333100909030
Myanmar,0.6919431726318820,0.004157329944242450,-5.482882251102980
Mongolia,0.6300040005260390,0.0006339595773558540,-7.363525363673480
Mozambique,0.636098528218695,0.0006203392858309930,-7.385243994392440
Mauritania,0.6261188948571430,0.0028787888734974200,-5.850385603317460
Malawi,0.6435387963525840,0.0004361133551379010,-7.737608359558090
